Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
Breath,James Nestor,4.14,119395,OverDrive,No,,4,18
"Hunt, Gather, Parent",Michaeleen Doucleff,4.14,34775,OverDrive,No,,4,35
Killers of the Flower Moon,David Grann,4.14,457142,BorrowBox,No,9h4m,0,0
Diddly Squat,Jeremy Clarkson,4.14,12923,BorrowBox,Yes,2h32m,0,0
"Hunt, Gather, Parent",Michaeleen Doucleff,4.14,34775,BorrowBox,No,8h32m,0,0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.13,815494,OverDrive,No,,3,56
The Order of Time,Carlo Rovelli,4.13,39661,OverDrive,No,,2,21
Good Strategy Bad Strategy,Richard Rumelt,4.13,18238,BorrowBox,Yes,11h50m,0,0
Beyond Order,Jordan B. Peterson,4.13,31072,BorrowBox,Yes,13h11m,0,0
How to Be Right,James O'Brien,4.12,11898,OverDrive,Yes,,0,14
Hold Me Tight,Dr. Sue Johnson,4.12,23080,OverDrive,No,,4,70
How We Got to Now,Steven Johnson,4.12,15788,BorrowBox,Yes,3h0m,0,0
Braving the Wilderness,Brené Brown,4.12,121712,BorrowBox,No,4h12m,0,0
Lion,Saroo Brierley,4.12,68698,BorrowBox,No,5h40m,0,0
Unruly,David Mitchell,4.12,34119,BorrowBox,Yes,11h40m,0,0
Abroad in Japan,Chris Broad,4.11,23662,OverDrive,Yes,,0,3
Six Wives of Henry VIII,Antonia Fraser,4.11,19206,OverDrive,No,,0,14
The Language of Kindness,Christie Watson,4.11,11582,OverDrive,No,,1,28
Barking up the Wrong Tree,Eric Barker,4.11,17196,BorrowBox,Yes,9h0m,0,0
The Three Musketeers,Alexandre Dumas,4.1,350075,OverDrive,Yes,,0,14
1776,David McCullough,4.1,251357,OverDrive,Yes,,0,14
Women Who Run With the Wolves,"Clarissa Pinkola Estés, PhD",4.1,98899,OverDrive,No,,6,98
Rememberings,Sinéad O'Connor,4.1,14560,OverDrive,No,,0,14
One Summer,Bill Bryson,4.1,55223,BorrowBox,Yes,17h4m,0,0
Letter to My Daughter,Maya Angelou,4.09,35458,OverDrive,Yes,,0,7
Forensics,Val McDermid,4.09,13288,OverDrive,Yes,,0,1
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,4.09,40078,OverDrive,No,,0,2
The Third Chimpanzee,Jared Diamond,4.09,28812,BorrowBox,Yes,15h33m,0,0
The Unwinding of the Miracle,Julie Yip-Williams,4.09,11764,BorrowBox,Yes,11h14m,0,0
The Five,Hallie Rubenhold,4.09,69817,BorrowBox,Yes,10h20m,0,0
The Blind Watchmaker,Richard Dawkins,4.09,42071,BorrowBox,Yes,14h41m,0,0
The 48 Laws of Power,Robert Greene,4.08,234075,OverDrive,Yes,,0,1
Ask Not,Maureen Callahan,4.08,25900,OverDrive,No,,1,14
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.08,211305,OverDrive,No,,0,4
Chinese Cinderella,Adeline Yen Mah,4.08,42016,BorrowBox,Yes,6h45m,0,0
A Walk in the Woods,Bill Bryson,4.07,450620,OverDrive,No,,0,14
In Defense of Food,Michael Pollan,4.07,120000,OverDrive,No,,0,14
Dopesick,Beth Macy,4.07,46396,BorrowBox,Yes,10h3m,0,0
Going Solo,Roald Dahl,4.07,34011,BorrowBox,Yes,4h38m,0,0
A Walk in the Woods,Bill Bryson,4.07,450620,BorrowBox,Yes,9h44m,0,0
Wild,Cheryl Strayed,4.07,876208,BorrowBox,No,13h1m,0,0
The Hidden Life of Trees,Peter Wohlleben,4.06,90514,OverDrive,No,,1,7
Essentialism,Greg McKeown,4.06,133859,OverDrive,No,,5,84
Unshakeable,Tony Robbins,4.06,17189,BorrowBox,Yes,7h21m,0,0
Reasons to Stay Alive,Matt Haig,4.06,113642,BorrowBox,Yes,4h19m,0,0
This Much is True,Miriam Margolyes,4.06,25767,BorrowBox,Yes,15h7m,0,0
Thunder Dog,Michael Hingson,4.05,12592,OverDrive,Yes,,0,14
The Age of Surveillance Capitalism,Shoshana Zuboff,4.05,13787,OverDrive,No,,5,84
The Comfort Book,Matt Haig,4.05,75427,BorrowBox,Yes,3h10m,0,0
SPQR,Mary Beard,4.05,84124,BorrowBox,Yes,18h30m,0,0
The Man Who Mistook His Wife for a Hat,Oliver Sacks,4.05,249808,BorrowBox,No,9h33m,0,0
American Sniper,Chris Kyle,4.03,142351,OverDrive,Yes,,0,5
The Seat of the Soul,Gary Zukav,4.03,48527,BorrowBox,Yes,10h12m,0,0
Bullshit Jobs,David Graeber,4.02,35533,OverDrive,Yes,,0,3
The Best Minds,Jonathan Rosen,4.02,18496,OverDrive,Yes,,0,14
The Library Book,Unknown,4.02,47619,OverDrive,Yes,,0,14
"Dolly Parton, Songteller",Dolly Parton,4.02,28311,OverDrive,Yes,,0,5
Technofeudalism,Yanis Varoufakis,4.02,10345,OverDrive,No,,18,133
A Moveable Feast,Ernest Hemingway,4.02,169616,OverDrive,No,,2,42
Why Be Happy When You Could Be Normal?,Jeanette Winterson,4.02,47331,BorrowBox,No,6h6m,0,0
Elizabeth,David Starkey,4.01,15764,OverDrive,Yes,,0,14
Elvis and Me,Priscilla Beaulieu Presley,4.01,32751,OverDrive,Yes,,0,7
The Tao of Pooh,Benjamin Hoff,4.01,131945,OverDrive,Yes,,0,14
Under The Banner of Heaven,Jon Krakauer,4.01,228134,BorrowBox,Yes,12h32m,0,0
The Let Them Theory,Mel Robbins,4.01,305103,BorrowBox,No,10h39m,0,0
The Consolations of Philosophy,Alain De Botton,4.01,34483,BorrowBox,Yes,6h41m,0,0
In Praise of Shadows,Jun'ichiro Tanizaki,4,31502,OverDrive,Yes,,0,14
Pre-Suasion,Robert Cialdini,4,10678,BorrowBox,Yes,9h23m,0,0
The Little Book of Lykke,Meik Wiking,3.99,20314,OverDrive,Yes,,0,14
The Dance of the Dissident Daughter,Sue Monk Kidd,3.99,11196,OverDrive,Yes,,0,14
Food Rules,Michael Pollan,3.99,49093,OverDrive,No,,0,14
The Key to Happiness,Meik Wiking,3.99,20314,OverDrive,No,,1,28
A Street Cat Named Bob,James Bowen,3.99,61257,BorrowBox,Yes,6h0m,0,0
The Little Book of Lykke,Meik Wiking,3.99,20314,BorrowBox,Yes,4h27m,0,0
Three Ordinary Girls,Tim Brady,3.98,10000,OverDrive,Yes,,0,14
Frozen in Time,Mitchell Zuckoff,3.98,12441,OverDrive,Yes,,0,14
Knife,Salman Rushdie,3.98,28398,BorrowBox,Yes,6h23m,0,0
Supercommunicators,Charles Duhigg,3.97,39877,OverDrive,Yes,,0,3
Untamed,Glennon Doyle,3.97,521167,OverDrive,Yes,,0,5
Untamed,Glennon Doyle,3.97,521167,BorrowBox,Yes,8h22m,0,0
The Line Becomes a River,Francisco Cantú,3.97,15659,BorrowBox,Yes,6h30m,0,0
David and Goliath,Malcolm Gladwell,3.97,193074,BorrowBox,Yes,7h0m,0,0
A Hare With the Amber Eyes,Edmund de Waal,3.96,64607,OverDrive,Yes,,0,14
"Good Vibes, Good Life",Vex King,3.96,46847,OverDrive,No,,2,42
Still Foolin' 'Em,Billy Crystal,3.96,17797,OverDrive,No,,0,14
The Hare With Amber Eyes,Edmund de Waal,3.96,64607,OverDrive,No,,0,14
The Songlines,Bruce Chatwin,3.96,12570,BorrowBox,Yes,9h34m,0,0
My Thoughts Exactly,Lily Allen,3.96,26479,BorrowBox,Yes,6h14m,0,0
23 Things They Don't Tell You about Capitalism,Ha-Joon Chang,3.96,12785,BorrowBox,Yes,8h58m,0,0
Them,Jon Ronson,3.96,23006,BorrowBox,Yes,8h16m,0,0
The History Boys,Alan Bennett,3.95,11652,OverDrive,Yes,,0,14
Running With the Kenyans,Adharanand Finn,3.94,10468,OverDrive,Yes,,0,1
Divine Might,Natalie Haynes,3.94,11704,OverDrive,No,,0,14
How Successful People Think,John C. Maxwell,3.94,14219,OverDrive,No,,1,28
Mindless Eating,"Brian Wansink, PhD",3.93,12346,OverDrive,Yes,,0,14
Moab is My Washpot,Stephen Fry,3.93,25343,OverDrive,Yes,,0,14
Everything I Know About Love,Dolly Alderton,3.93,523004,OverDrive,Yes,,0,3
The Tell,Amy Griffin,3.93,54244,OverDrive,Yes,,0,14
The Old Patagonian Express,Paul Theroux,3.93,11804,OverDrive,Yes,,0,14
The Salt Path,Raynor Winn,3.93,104856,OverDrive,Yes,,0,4
The Chrysalids & Survival,John Wyndham,3.93,62975,OverDrive,No,,0,14
The Salt Path,Raynor Winn,3.93,104856,BorrowBox,Yes,11h2m,0,0
Everything I Know About Love,Dolly Alderton,3.93,523009,BorrowBox,Yes,8h33m,0,0
So You've Been Publicly Shamed,Jon Ronson,3.93,66203,BorrowBox,Yes,7h27m,0,0
The Wild Silence,Raynor Winn,3.92,19335,OverDrive,Yes,,0,7
This is Marketing,Seth Godin,3.92,17952,BorrowBox,Yes,7h2m,0,0
Bad Feminist,Roxane Gay,3.92,119977,BorrowBox,Yes,11h3m,0,0
Empress Dowager Cixi,Jung Chang,3.92,10846,BorrowBox,No,19h3m,0,0
The Courage to be Disliked,Ichiro Kishimi,3.91,149370,BorrowBox,No,6h50m,0,0
Disrupted,Dan Lyons,3.91,17164,BorrowBox,Yes,9h17m,0,0
Life,Keith Richards,3.9,98997,OverDrive,Yes,,0,5
Notes from a Big Country,Bill Bryson,3.9,69802,OverDrive,No,,0,7
The God Delusion,Richard Dawkins,3.9,285492,OverDrive,No,,1,28
My Lucky Life in and Out of Show Business,Dick Van Dyke,3.9,15306,BorrowBox,Yes,7h42m,0,0
The Kennedy Curse,James Patterson,3.9,13885,BorrowBox,Yes,10h24m,0,0
The Art of the Start 2.0,Guy Kawasaki,3.9,29368,BorrowBox,Yes,9h45m,0,0
Waiting to be Heard,Amanda Knox,3.89,20434,OverDrive,Yes,,0,14
The Ghost Map,Steven Johnson,3.89,56946,OverDrive,Yes,,0,14
Die With Zero,Bill Perkins,3.89,38075,OverDrive,No,,4,18
This is Your Brain on Music,Daniel Levitin,3.89,68440,OverDrive,No,,2,21
8 Rules of Love,Jay Shetty,3.89,30740,BorrowBox,Yes,10h11m,0,0
Small Victories,Anne Lamott,3.89,12276,BorrowBox,Yes,5h37m,0,0
The Monk Who Sold His Ferrari,Robin Sharma,3.89,186433,BorrowBox,Yes,7h14m,0,0
Status Anxiety,Alain De Botton,3.89,22093,BorrowBox,Yes,6h35m,0,0
The Reason I Jump,Naoki Higashida,3.88,63149,OverDrive,Yes,,0,1
Talk Like TED,Carmine Gallo,3.88,22045,OverDrive,No,,1,28
Elizabeth the Queen,Sally Bedell Smith,3.88,29252,OverDrive,No,,0,14
The Secret Barrister,The Secret Barrister,3.88,22780,OverDrive,No,,1,28
Other Minds,Peter Godfrey-Smith,3.88,28706,OverDrive,No,,0,7
Undoctored,Adam Kay,3.88,27846,BorrowBox,Yes,7h20m,0,0
Spark Joy,Marie Kondo,3.88,44421,BorrowBox,Yes,5h31m,0,0
The Last Days of John Lennon,James Patterson,3.88,10861,BorrowBox,Yes,8h51m,0,0
Chocky,John Wyndham,3.87,12291,OverDrive,Yes,,0,14
Eat That Frog!,Brian Tracy,3.87,83343,OverDrive,Yes,,0,7
The Now Habit,Neil Fiore,3.87,17065,OverDrive,No,,0,14
Revenge,Tom Bower,3.87,10055,BorrowBox,No,16h49m,0,0
Believe Me,Eddie Izzard,3.86,10350,OverDrive,Yes,,0,5
I Haven't Been Entirely Honest with You,Miranda Hart,3.86,11718,OverDrive,No,,2,6
The Good Nurse,Charles Graeber,3.86,28189,BorrowBox,Yes,11h35m,0,0
Scrappy Little Nobody,Anna Kendrick,3.85,107319,OverDrive,Yes,,0,7
Cousin Bette,Honore De Balzac,3.85,10804,OverDrive,Yes,,0,14
Why Has Nobody Told Me This Before?,Julie Smith,3.85,51081,OverDrive,No,,0,2
No One Is Too Small to Make a Difference,Greta Thunberg,3.85,28029,OverDrive,Yes,,0,5
Neither Here Nor There,Bill Bryson,3.85,79738,OverDrive,No,,1,10
No One Is Too Small to Make a Difference,Greta Thunberg,3.85,28029,BorrowBox,Yes,1h15m,0,0
