Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
Liar's Poker,Michael Lewis,4.15,113442,OverDrive,Yes,,0,7
Diddly Squat,Jeremy Clarkson,4.14,12922,OverDrive,Yes,,0,5
More Than a Woman,Caitlin Moran,4.14,10701,OverDrive,Yes,,0,5
Killers of the Flower Moon,David Grann,4.14,457142,OverDrive,No,,5,84
Breath,James Nestor,4.14,119395,OverDrive,No,,4,18
"Hunt, Gather, Parent",Michaeleen Doucleff,4.14,34775,OverDrive,No,,4,35
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.13,815494,OverDrive,No,,3,56
The Order of Time,Carlo Rovelli,4.13,39661,OverDrive,No,,2,21
How to Be Right,James O'Brien,4.12,11898,OverDrive,Yes,,0,14
Hold Me Tight,Dr. Sue Johnson,4.12,23080,OverDrive,No,,4,70
Abroad in Japan,Chris Broad,4.11,23662,OverDrive,Yes,,0,3
Six Wives of Henry VIII,Antonia Fraser,4.11,19206,OverDrive,No,,0,14
The Language of Kindness,Christie Watson,4.11,11582,OverDrive,No,,1,28
The Three Musketeers,Alexandre Dumas,4.1,350075,OverDrive,Yes,,0,14
1776,David McCullough,4.1,251357,OverDrive,Yes,,0,14
Women Who Run With the Wolves,"Clarissa Pinkola Estés, PhD",4.1,98899,OverDrive,No,,6,98
Rememberings,Sinéad O'Connor,4.1,14560,OverDrive,No,,0,14
Letter to My Daughter,Maya Angelou,4.09,35458,OverDrive,Yes,,0,7
Forensics,Val McDermid,4.09,13288,OverDrive,Yes,,0,1
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,4.09,40078,OverDrive,No,,0,2
The 48 Laws of Power,Robert Greene,4.08,234075,OverDrive,Yes,,0,1
Ask Not,Maureen Callahan,4.08,25900,OverDrive,No,,1,14
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.08,211305,OverDrive,No,,0,4
A Walk in the Woods,Bill Bryson,4.07,450620,OverDrive,No,,0,14
In Defense of Food,Michael Pollan,4.07,120000,OverDrive,No,,0,14
The Hidden Life of Trees,Peter Wohlleben,4.06,90514,OverDrive,No,,1,7
Essentialism,Greg McKeown,4.06,133859,OverDrive,No,,5,84
Thunder Dog,Michael Hingson,4.05,12592,OverDrive,Yes,,0,14
The Age of Surveillance Capitalism,Shoshana Zuboff,4.05,13787,OverDrive,No,,5,84
American Sniper,Chris Kyle,4.03,142351,OverDrive,Yes,,0,5
Bullshit Jobs,David Graeber,4.02,35533,OverDrive,Yes,,0,3
The Best Minds,Jonathan Rosen,4.02,18496,OverDrive,Yes,,0,14
The Library Book,Unknown,4.02,47619,OverDrive,Yes,,0,14
"Dolly Parton, Songteller",Dolly Parton,4.02,28311,OverDrive,Yes,,0,5
Technofeudalism,Yanis Varoufakis,4.02,10345,OverDrive,No,,18,133
A Moveable Feast,Ernest Hemingway,4.02,169616,OverDrive,No,,2,42
Elizabeth,David Starkey,4.01,15764,OverDrive,Yes,,0,14
Elvis and Me,Priscilla Beaulieu Presley,4.01,32751,OverDrive,Yes,,0,7
The Tao of Pooh,Benjamin Hoff,4.01,131945,OverDrive,Yes,,0,14
In Praise of Shadows,Jun'ichiro Tanizaki,4.0,31502,OverDrive,Yes,,0,14
The Little Book of Lykke,Meik Wiking,3.99,20314,OverDrive,Yes,,0,14
The Dance of the Dissident Daughter,Sue Monk Kidd,3.99,11196,OverDrive,Yes,,0,14
Food Rules,Michael Pollan,3.99,49093,OverDrive,No,,0,14
The Key to Happiness,Meik Wiking,3.99,20314,OverDrive,No,,1,28
Three Ordinary Girls,Tim Brady,3.98,10000,OverDrive,Yes,,0,14
Frozen in Time,Mitchell Zuckoff,3.98,12441,OverDrive,Yes,,0,14
Supercommunicators,Charles Duhigg,3.97,39877,OverDrive,Yes,,0,3
Untamed,Glennon Doyle,3.97,521167,OverDrive,Yes,,0,5
A Hare With the Amber Eyes,Edmund de Waal,3.96,64607,OverDrive,Yes,,0,14
"Good Vibes, Good Life",Vex King,3.96,46847,OverDrive,No,,2,42
Still Foolin' 'Em,Billy Crystal,3.96,17797,OverDrive,No,,0,14
The Hare With Amber Eyes,Edmund de Waal,3.96,64607,OverDrive,No,,0,14
The History Boys,Alan Bennett,3.95,11652,OverDrive,Yes,,0,14
Running With the Kenyans,Adharanand Finn,3.94,10468,OverDrive,Yes,,0,1
Divine Might,Natalie Haynes,3.94,11704,OverDrive,No,,0,14
How Successful People Think,John C. Maxwell,3.94,14219,OverDrive,No,,1,28
Mindless Eating,"Brian Wansink, PhD",3.93,12346,OverDrive,Yes,,0,14
Moab is My Washpot,Stephen Fry,3.93,25343,OverDrive,Yes,,0,14
Everything I Know About Love,Dolly Alderton,3.93,523004,OverDrive,Yes,,0,3
The Tell,Amy Griffin,3.93,54244,OverDrive,Yes,,0,14
